id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1420647319154962432,1420011195902398476,2021-07-29 09:28:09 Namibia Standard Time,2021-07-29,09:28:09,+0200,3072941728,josias348josias,Malesela,,@SB_BizConnect How do i join standard bank 4-sure panel as one their service provider for their insurance members,en,[],[],[],1,0,0,[],[],https://twitter.com/Josias348Josias/status/1420647319154962432,False,,0,,,,,,,,"[{'screen_name': 'SB_BizConnect', 'name': 'SB BizBanking', 'id': '18074661'}]",,,,
1420641276513427463,1420635376033616418,2021-07-29 09:04:09 Namibia Standard Time,2021-07-29,09:04:09,+0200,1338801307,briankelly68,Brian Kelly,,@CityofJoburgZA Standard Bank also had the first auto teller on the corner of market and eloff street’s in Johannesburg in 1974,en,[],[],[],0,0,0,[],[],https://twitter.com/Briankelly68/status/1420641276513427463,False,,0,,,,,,,,"[{'screen_name': 'CityofJoburgZA', 'name': 'City of Joburg', 'id': '517306957'}]",,,,
1420640091093995520,1420639334563201025,2021-07-29 08:59:26 Namibia Standard Time,2021-07-29,08:59:26,+0200,453561396,elitecynic,Kartik Jayaraman,,@ovshake42 @ramkid Dave Houghton 1996/97 Standard Bank Tri-series was captain and coach of Zimbabwe.,en,[],[],[],0,0,7,[],[],https://twitter.com/elitecynic/status/1420640091093995520,False,,0,,,,,,,,"[{'screen_name': 'ovshake42', 'name': 'Abhishek Mukherjee (@SachinAzharCT)', 'id': '541499063'}, {'screen_name': 'ramkid', 'name': 'Ramki', 'id': '46868027'}]",,,,
1420639061610569728,1420639061610569728,2021-07-29 08:55:21 Namibia Standard Time,2021-07-29,08:55:21,+0200,937685658075848705,terkimbijames,TMD,,"I am inviting you to enjoy banking with Standard Chartered, through my referral code   https://t.co/HWNiO90eEY Don't forget to unlock new features by upgrading account and making transactions after registration.#fintech  #standardbank #standardcharteredbank #Scmobile",en,[],['https://retail.sc.com/scmobile/ng/?route=deep-link.onboarding&feature=NTB_NewAccount&referralCode=400156003'],[],2,0,1,"['fintech', 'standardbank', 'standardcharteredbank', 'scmobile']",[],https://twitter.com/terkimbijames/status/1420639061610569728,False,,0,,,,,,,,[],,,,
1420636219344670722,1420636219344670722,2021-07-29 08:44:03 Namibia Standard Time,2021-07-29,08:44:03,+0200,89282799,yfm,#YFM,,WIN R1500 with “Who killed the beat” on The Lady on Drive with the @StandardBankArt Jazz Festival!🎷  1. Choose a jazz note here🎵:  https://t.co/Bgx3CGyCOW 2. Put your creative spin on it!🎤 3. Post a video or voice recording with the #NAF2021 &amp; tag @yfm  Standard Bank #ItCanBe  https://t.co/PY0uIELfn6,en,"[{'screen_name': 'standardbankart', 'name': 'standard bank arts', 'id': '115632296'}, {'screen_name': 'yfm', 'name': '#yfm', 'id': '89282799'}]",['https://bit.ly/3hLX8Wy'],['https://pbs.twimg.com/media/E7cdHDGXIAIsisY.png'],2,0,10,"['naf2021', 'itcanbe']",[],https://twitter.com/Yfm/status/1420636219344670722,False,,1,https://pbs.twimg.com/media/E7cdHDGXIAIsisY.png,,,,,,,[],,,,
1420636040180781056,1420636040180781056,2021-07-29 08:43:20 Namibia Standard Time,2021-07-29,08:43:20,+0200,115632296,standardbankart,Standard Bank Arts,,"2020 #SBYA for Jazz @SisonkeXonti is a highly esteemed saxophonist, composer and arranger. Don’t miss his thought-provoking music at the online Standard Bank Jazz Festival. Book now:  https://t.co/I7JqhRGT7w #AWorldOfArts #NAF2021 #ItCanBe  https://t.co/w5B5OIkwBo",en,"[{'screen_name': 'sisonkexonti', 'name': 'sisonke xonti', 'id': '1731520285'}]",['https://bit.ly/3AQmD0t'],['https://pbs.twimg.com/media/E7cc3aLXoAYL7on.jpg'],0,4,8,"['sbya', 'aworldofarts', 'naf2021', 'itcanbe']",[],https://twitter.com/StandardBankArt/status/1420636040180781056,False,,1,https://pbs.twimg.com/media/E7cc3aLXoAYL7on.jpg,,,,,,,[],,,,
1420635376033616418,1420635376033616418,2021-07-29 08:40:42 Namibia Standard Time,2021-07-29,08:40:42,+0200,517306957,cityofjoburgza,City of Joburg,,"The first bank to open in the town was the Standard Bank, opening on 11 October 1886, in a tent. From the tent, it moved to a thatched cottage, and the building stood at 185 Anderson Street.​ Below is their first brunch &amp; it's well over 130 years.   #ExploreJoburg ^LM  https://t.co/tLbwkdppqn",en,[],[],"['https://pbs.twimg.com/media/E7ccVmzXMAMWCni.jpg', 'https://pbs.twimg.com/media/E7ccVm1WQAAofiE.jpg']",6,9,42,['explorejoburg'],[],https://twitter.com/CityofJoburgZA/status/1420635376033616418,False,,1,https://pbs.twimg.com/media/E7ccVmzXMAMWCni.jpg,,,,,,,[],,,,
1420635063075676160,1420635063075676160,2021-07-29 08:39:27 Namibia Standard Time,2021-07-29,08:39:27,+0200,755198720,jjvvuu,Jaco van Vuuren,,"#DustyHillRIP Continental Safari Tour, 31 July '96, Standard Bank Arena, Jhb  https://t.co/DsCWUeBm5E",en,[],[],['https://pbs.twimg.com/media/E7ccD5bXIAQLsyk.jpg'],0,0,0,['dustyhillrip'],[],https://twitter.com/JJvVuu/status/1420635063075676160,False,,1,https://pbs.twimg.com/media/E7ccD5bXIAQLsyk.jpg,,,,,,,[],,,,
1420632322156769281,1420632322156769281,2021-07-29 08:28:34 Namibia Standard Time,2021-07-29,08:28:34,+0200,892836121,q_to_you,Mr Quluba 🐒,,2019. I used my standard bank points to pour petrol from CPT to EC. I had 3 full tanks nge points nje qha. Those things are important,en,[],[],[],5,0,1,[],[],https://twitter.com/Q_to_you/status/1420632322156769281,False,https://twitter.com/MohaleMotaung_/status/1420631484155809792,0,,,,,,,,[],,,,
1420631638082347009,1420612008110559235,2021-07-29 08:25:51 Namibia Standard Time,2021-07-29,08:25:51,+0200,749381490,rnb129,FCPUI 🇮🇳,,@El_Chopernos Remember him more for the second of 3 games in the 1997 standard bank tri series - he and craig evans won them a game that was India's for the taking.,en,[],[],[],0,0,0,[],[],https://twitter.com/Rnb129/status/1420631638082347009,False,,0,,,,,,,,"[{'screen_name': 'El_Chopernos', 'name': 'El Chopernos', 'id': '705455265932443649'}]",,,,
